needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Глинтвейн классик Алко,Глинтвейн классик Алко,,Глинтвейн классик Алко,,Classic Mulled Wine (Alco),
Aperol Spritz ,Aperol Spritz ,,Aperol Spritz,,Aperol Spritz,
Negroni,Negroni,,Negroni,,Negroni,
Red Sangria ,Red Sangria ,,Red Sangria,,Red Sangria,
White Sangria,White Sangria,,White Sangria,,White Sangria,
Плов Праздничный,Плов Праздничный,,Плов Праздничный,,Festive Pilaf,
Манты с мясом,Манты с мясом,,Манты с мясом,,Meat Manti,
Манты с тыквой,Манты с тыквой,,Манты с тыквой,,Pumpkin Manti,
Плов ханский Лукум ,Плов ханский Лукум ,,Плов ханский,,Khans Pilaf,
Сырне,Сырне,,Лукум Сыр,,Lukum Cheese,
Бесбармак,Бесбармак,,Бесбармак,,Beshbarmak,
Хошан манты,Хошан манты,,Хошан манты,,Khoshan Manti,
"Капучино 0,300",Капучино 300 мл,,Капучино 300 мл,,Cappuccino 300 ml,
Айс латте 300мл,Айс латте 300 мл,,Айс латте 300 мл,,Iced Latte 300 ml,
"Американо 0,250",Американо 250 мл,,Американо 250 мл,,Americano 250 ml,
"Американо 0,150",Американо 150 мл,,Американо 150 мл,,Americano 150 ml,
"Капучино 0,200",Капучино 200 мл,,Капучино 200 мл,,Cappuccino 200 ml,
Латте,Латте,,Латте,,Latte,
Эспрессо,Эспрессо,,Эспрессо,,Espresso,
Чай Талкан (чайник),Чай Талкан (чайник),,Талқан чәй (шайнек),,Talqan Tea (teapot),
Чай Ташкентский (чайник),Чай Ташкентский (чайник),,Ташкент чәй (шайнек),,Tashkent Tea (teapot),
Чай Клубника-ройбуш 450мл,Чай Клубника-ройбуш 450 мл,,Клубника-ройбуш чәй 450 мл,,Strawberry-Rooibos Tea 450 ml,
Чай Малина-кафир-лайм 450мл,Чай Малина-кафир-лайм 450 мл,,Малина-кафир-лайм чәй 450 мл,,Raspberry-Cafier-Lime Tea 450 ml,
Чай Западный по-казахски (чайник),Чай Западный по-казахски (чайник),,Батыс Қазақша чәй (шайнек),,Western Kazakh Tea (teapot),
Чай Марокканский (чайник),Чай Марокканский (чайник),,Марокко чәй (шайнек),,Moroccan Tea (teapot),
Чай Ташкентский 400 мл,Чай Ташкентский 400 мл,,Ташкент чәй 400 мл,,Tashkent Tea 400 ml,
"Чай Марокканский 0,4",Чай Марокканский 400 мл,,Марокко чәй 400 мл,,Moroccan Tea 400 ml,
Чай имбирный 450мл,Чай имбирный 450 мл,,Имбирь чәй 450 мл,,Ginger Tea 450 ml,
Чай Облепиха 450мл,Чай Облепиха 450 мл,,Облепиха чәй 450 мл,,Sea Buckthorn Tea 450 ml,
Посуда круглая ,Посуда круглая ,,Дөңгелек ыдыс,,Round Dishware,
Коробка для пиццы,Коробка для пиццы,,Пицца қорабы,,Pizza Box,
Посуда квадратная ,Посуда квадратная ,,Квадрат ыдыс,,Square Dishware,
Посуда одноразовая супница,Посуда одноразовая супница,,Бір реттік сорпа ыдысы,,Disposable Soup Bowl,
Брендированный стакан Lukum,Брендированный стакан Lukum,,Lukum брендтелген шыны,,Lukum Branded Glass,
Ифтар Сэт 1 2025,Ифтар сет 1,,Ифтар сет 1,,Iftar Set 1,
Ифтар Сэт 2 2025,Ифтар сет 2,,Ифтар сет 2,,Iftar Set 2,
Ифтар Сэт 3 2025,Ифтар сет 3,,Ифтар сет 3,,Iftar Set 3,
Вода ифтар 0 тг,Вода ифтар,,Ифтар суы,,Iftar Water,
Ифтар сэт на компанию № 1,Ифтар сет на компанию № 1,,Ифтар сет компанияға №1,,Iftar Set for Company № 1,
Ифтар сэт на компанию № 2,Ифтар сет на компанию № 2,,Ифтар сет компанияға №2,,Iftar Set for Company № 2,
Ифтар сэт на компанию № 3,Ифтар сет на компанию № 3,,Ифтар сет компанияға №3,,Iftar Set for Company № 3,
"Torres 5 YO (0,050)",Torres 5 YO 50 мл,,Torres 5 YO 50 мл,,Torres 5 YO 50 ml,
"Hennessy VSOP (0,050)",Hennessy VSOP 50 мл,,Hennessy VSOP 50 мл,,Hennessy VSOP 50 ml,
"Hennessy VS (0,050)",Hennessy VS 50 мл,,Hennessy VS 50 мл,,Hennessy VS 50 ml,
Майонез,Майонез,,Майонез,,Mayonnaise,
Кетчуп,Кетчуп,,Кетчуп,,Ketchup,
Соус Барбекью,Соус Барбекью,,Барбекю соусы,,Barbecue Sauce,
Соус шашлычный,Соус шашлычный,,Шашлық соусы,,Shashlik Sauce,
Сметана,Сметана,,Сметана,,Sour Cream,
Тар-тар,Тар-тар,,Тар-тар соусы,,Tartar Sauce,
Соус сырный,Соус сырный,,Сыр соусы,,Cheese Sauce,
Свит чили,Свит чили,,Свит чили соусы,,Sweet Chili Sauce,
Чили перец,Чили перец,,Чили бұрышы,,Chili Pepper,
Ладжан,Ладжан,,Ладжан,,Ladjan,
Соус сливочно-грибной,Соус сливочно-грибной,,Сливочно-грибной соус,,Creamy-Mushroom Sauce,
"Морс ягодный с душицей 0,5л",Морс ягодный с душицей 500 мл,,Жүзім мен бал қосылған морс 500 мл,,Berry-Mint Juice 500 ml,
Морс Клюквенный с медом 1л,Морс Клюквенный с медом 1 л,,Қарақат балмен морс 1 л,,Cranberry-Mint Juice 1 L,
Морс ягодный с душицей 1л,Морс ягодный с душицей 1 л,,Жүзім мен бал қосылған морс 1 л,,Berry-Mint Juice 1 L,
Домашний компот 1л,Домашний компот 1 л,,Үй компоты 1 л,,Homemade Compote 1 L,
"Морс Клюквенный с медом 0,5л",Морс Клюквенный с медом 500 мл,,Қарақат балмен морс 500 мл,,Cranberry-Mint Juice 500 ml,
"Домашний компот 0,5",Домашний компот 500 мл,,Үй компоты 500 мл,,Homemade Compote 500 ml,
Бой колбы,Бой колбы,,Құбыр сынуы,,Bulb Broken,
Хайбол и Фужеры,Хайбол и Фужеры,,Хайбол және фужерлер,,Highball and Glassware,
Стекло,Стекло,,Шыны,,Glass,
Чайник,Чайник,,Шайнек,,Teapot,
Чашки и Блюдца,Чашки и Блюдца,,Көшіру мен табақтар,,Cups and Saucers,
Тарелка,Тарелка,,Тұздық,,Plate,
Пепельница,Пепельница,,Күлсалғыш,,Ashtray,
Лимонад Манго маракуйя 400мл,Лимонад Манго маракуйя 400 мл,,Манго-маракуйя лимонады 400 мл,,Mango Passionfruit Lemonade 400 ml,
Лимонад Тархун - кафир- лайм 900мл,Лимонад Тархун - кафир- лайм 900 мл,,Тархун-кафир-лайм лимонады 900 мл,,Tarkhuna-Cafier-Lime Lemonade 900 ml,
Лимонад Имбирь цитрусы 900мл,Лимонад Имбирь цитрусы 900 мл,,Имбирь-цитрус лимонады 900 мл,,Ginger-Citrus Lemonade 900 ml,
"Айс-ти Персик жасмин 0,5л",Айс-ти Персик жасмин 500 мл,,Персик-жасмин Айс-Ти 500 мл,,Peach-Jasmine Iced Tea 500 ml,
Айс-ти лимон 1л,Айс-ти лимон 1 л,,Лимон Айс-Ти 1 л,,Lemon Iced Tea 1 L,
"Айс-ти лимон 0,5л",Айс-ти лимон 500 мл,,Лимон Айс-Ти 500 мл,,Lemon Iced Tea 500 ml,
Лимонаж Вишня-тибетская ромашка 400мл,Лимонад Вишня-тибетская ромашка 400 мл,,Тибет Вишня ромашка лимонады 400 мл,,Tibet Cherry Chamomile Lemonade 400 ml,
Айс-ти Персик жасмин 1л,Айс-ти Персик жасмин 1 л,,Персик-жасмин Айс-Ти 1 л,,Peach-Jasmine Iced Tea 1 L,
Лимонад Тархун-кафир-лайм 400мл,Лимонад Тархун-кафир-лайм 400 мл,,Тархун-кафир-лайм лимонады 400 мл,,Tarkhuna-Cafier-Lime Lemonade 400 ml,
Лимонад Малина- базилик- шиповник 900мл,Лимонад Малина-базилик-шиповник 900 мл,,Малина-базилик-Шиповник лимонады 900 мл,,Raspberry-Basil-Hip Rosehip Lemonade 900 ml,
Лимонад Имбирь цитрусы 400мл,Лимонад Имбирь-цитрусы 400 мл,,Имбирь-цитрус лимонады 400 мл,,Ginger-Citrus Lemonade 400 ml,
Лимонад Клубника-улун 400мл,Лимонад Клубника-улун 400 мл,,Клубника-улун лимонады 400 мл,,Strawberry-Oolong Lemonade 400 ml,
Лимонад Клубника-улун 900мл,Лимонад Клубника-улун 900 мл,,Клубника-улун лимонады 900 мл,,Strawberry-Oolong Lemonade 900 ml,
Лимонад Манго маракуйя 900мл,Лимонад Манго-маракуйя 900 мл,,Манго-маракуйя лимонады 900 мл,,Mango-Passionfruit Lemonade 900 ml,
Лимонад Малина-базилик-шиповник 400мл,Лимонад Малина-базилик-шиповник 400 мл,,Малина-базилик-Шиповник лимонады 400 мл,,Raspberry-Basil-Hip Rosehip Lemonade 400 ml,
Лимонад Вишня- тибетская ромашка 900мл,Лимонад Вишня-тибетская ромашка 900 мл,,Тибет Вишня ромашка лимонады 900 мл,,Tibet Cherry Chamomile Lemonade 900 ml,
Вино Askaneli Brothers Kakheti Valley,Вино Askaneli Brothers Kakheti Valley,,Askaneli Brothers Kakheti Valley шарабы,,Askaneli Brothers Kakheti Valley Wine,
Вино Sun Gate Cabernet Sauvignon,Вино Sun Gate Cabernet Sauvignon,,Sun Gate Cabernet Sauvignon шарабы,,Sun Gate Cabernet Sauvignon Wine,
Вино Fox Grove Shiraz-Cabernet Sauvignon,Вино Fox Grove Shiraz-Cabernet Sauvignon,,Fox Grove Shiraz-Cabernet Sauvignon шарабы,,Fox Grove Shiraz-Cabernet Sauvignon Wine,
Вино Butcher`s Corner,Вино Butcher`s Corner,,Butcher’s Corner шарабы,,Butcher’s Corner Wine,
Вино Villa Cardini Chianti,Вино Villa Cardini Chianti,,Villa Cardini Chianti шарабы,,Villa Cardini Chianti Wine,
Вино Cape Dream Pinotage,Вино Cape Dream Pinotage,,Cape Dream Pinotage шарабы,,Cape Dream Pinotage Wine,
Вино Piccola Nostra,Вино Piccola Nostra,,Piccola Nostra шарабы,,Piccola Nostra Wine,
Вино Terra Linda Garnacha,Вино Terra Linda Garnacha,,Terra Linda Garnacha шарабы,,Terra Linda Garnacha Wine,
Вино Bodegas Canopy Castillo de Belarfonso,Вино Bodegas Canopy Castillo de Belarfonso,,Bodegas Canopy Castillo de Belarfonso шарабы,,Bodegas Canopy Castillo de Belarfonso Wine,
Вино U by Undurraga Carmenere,Вино U by Undurraga Carmenere,,U by Undurraga Carmenere шарабы,,U by Undurraga Carmenere Wine,
ЛАНЧ 2 2025,Ланч 2,,Түскі ас 2,,Lunch 2,
ЛАНЧ 1 2025,Ланч 1,,Түскі ас 1,,Lunch 1,
Паста с лососем и брокколи,Паста с лососем и брокколи,,Лосось пен брокколи пастасы,,Salmon and Broccoli Pasta,
Паста лингвини с креветками,Паста лингвини с креветками,,Лингвинимен асшаян пастасы,,Linguini Shrimp Pasta,
Паста Альфредо,Паста Альфредо,,Альфредо пастасы,,Alfredo Pasta,
Чин сай ру,Чин сай ру,"Тёплый салат с говядиной, сельдереем и полугорьким перцем в пикантном соусе.",Чин сай ру,"Жылы салат сиыр етімен, балдыркөкпен және жартылай ащы бұрышпен пикантты соусте.",Chin Sai Ru,"Warm salad with beef, celery, and semi-bitter pepper in a tangy sauce."
Хон шоу чайзи,Хон шоу чайзи,"Тёплый салат с баклажанами, телятиной и полугорьким перцем в пикантном китайском соусе.",Хон шоу чизі,"Жылы салат баклажанмен, телятинмен және жартылай ащы бұрышпен пикантты қытай соусте.",Hon Show Cheesy,"Warm salad with eggplant, veal, and semi-bitter pepper in a tangy Chinese sauce."
Фунчоза,Фунчоза,"Тёплый салат с фунчозой, сочной телятиной и ароматным перцем басай.",Фунчоза,"Жылы салат фунчозамен, шырынды телятинмен және хош иісті басай бұрышпен.",Funchoza,"Warm salad with cellophane noodles, juicy veal, and aromatic basai pepper."
Мошуру сай,Мошуру сай,"Пикантный салат с говядиной, древесными грибами и яйцом.",Мошуру сай,"Ащы салат сиыр етімен, ағаш саңырауқұлақтарымен және жұмыртқамен.",Moshuru Sai,"Spicy salad with beef, wood ear mushrooms, and egg."
Лазыжи,Лазыжи,"Тёплый салат с курицей, обжаренной с перцем и луком",Лазыжи,"Жылы салат тауық етінен, бұрышпен және пиязбен қуырумен дайындалған.",Laziji,"Warm salad with chicken, sautéed with pepper and onions."
Могу сай,Могу сай,Тёплый салат с сочной телятиной и шампиньонами.,Могу сай,Жылы салат шырынды телятинмен және шампиньондармен.,Mogu Sai,Warm salad with juicy veal and champignon mushrooms.
Лазыру,Лазыру,"Нежная телятина с овощами, обжаренная до золотистой корочки",Лазыру,Жұмсақ телятин мен көкөністер алтын қыртысқа қуырылады.,Laziru,"Tender veal with vegetables, sautéed to a golden crust."
"Водка Absolut 0,05",Водка Absolut 50 мл,,Водка Absolut 50 мл,,Vodka Absolut 50 ml,
"Grey Goose (0,050)",Grey Goose 50 мл,,Grey Goose 50 мл,,Grey Goose 50 ml,
"Finlandia (0,050)",Finlandia 50 мл,,Finlandia 50 мл,,Finlandia 50 ml,
"Nemiroff De Luxe (0,050)",Nemiroff De Luxe 50 мл,,Nemiroff De Luxe 50 мл,,Nemiroff De Luxe 50 ml,
"Romanov (0,050)",Romanov 50 мл,,Romanov 50 мл,,Romanov 50 ml,
"Вино Piccola Nostra / Красное полусладкое (0,150)",Вино Piccola Nostra / Красное полусладкое 150 мл,,Piccola Nostra / Қызыл жартылай тәтті шарабы 150 мл,,Piccola Nostra / Semi-Sweet Red Wine 150 ml,
"Вино Sun Gate White Zinfandel (0,150)",Вино Sun Gate White Zinfandel 150 мл,,Sun Gate White Zinfandel шарабы 150 мл,,Sun Gate White Zinfandel Wine 150 ml,
"Вино Piccola Nostra / Белое полусладкое (0,150)",Вино Piccola Nostra / Белое полусладкое 150 мл,,Piccola Nostra / Ақ жартылай тәтті шарабы 150 мл,,Piccola Nostra / Semi-Sweet White Wine 150 ml,
"Вино Sun Gate Cabernet Sauvignon (0,150)",Вино Sun Gate Cabernet Sauvignon 150 мл,,Sun Gate Cabernet Sauvignon шарабы 150 мл,,Sun Gate Cabernet Sauvignon Wine 150 ml,
"Вино Sun Gate Chardonnay (0,150)",Вино Sun Gate Chardonnay 150 мл,,Sun Gate Chardonnay шарабы 150 мл,,Sun Gate Chardonnay Wine 150 ml,
Жареный сазан в кляре,Жареный сазан в кляре,,Қуырылған сазан қамырмен,,Fried Carp in Batter,
Форель на гриле,Форель на гриле,,Грильде форель,,Grilled Trout,
Судак от шефа,Судак от шефа,,Шефтің судағы балық,,Chef’s Pikeperch,
Дорадо на гриле ,Дорадо на гриле ,,Грильде дорада,,Grilled Dorado,
Семга на гриле,Семга на гриле,,Грильде семга,,Grilled Salmon,
Вино Sun Gate White Zinfandel,Вино Sun Gate White Zinfandel,,Sun Gate White Zinfandel шарабы,,Sun Gate White Zinfandel Wine,
Вино U by Undurraga Rose,Вино U by Undurraga Rose,,U by Undurraga Rose шарабы,,U by Undurraga Rose Wine,
"Olmeca Gold (0,050)",Olmeca Gold 50 мл,,Olmeca Gold 50 мл,,Olmeca Gold 50 ml,
"Olmeca Blanco (0,050)",Olmeca Blanco 50 мл,,Olmeca Blanco 50 мл,,Olmeca Blanco 50 ml,
Жаровня из филе цыпленка ,Жаровня из филе цыпленка ,,Қуырылған тауық филесі,,Grilled Chicken Fillet Skewer,
Куриное филе на подушке из шпината с помидорами черри,Куриное филе на подушке из шпината с помидорами черри,,Шпинат төсегінде қарақат помидорларымен тауық,,Chicken Fillet on Spinach Bed with Cherry Tomatoes,
Мын Же Нюре,Мын Же Нюре,,Мын Же Нюре,,Myn Zhe Nure,
Мясо по Тайский ,Мясо по-тайски,,Тай стиліндегі ет,,Thai-style Meat,
Курица в соусе терияки с рисом,Курица в соусе терияки с рисом,,Теріаки соусымен тауық пен күріш,,Chicken in Teriyaki Sauce with Rice,
Кости мозговые ,Кости мозговые ,,Ми сүйектері,,Bone Marrow,
Казан кебаб,Казан кебаб,,Қазан кебабы,,Kazan Kebab,
Запеченная ножка цыпленка BBQ с булгуром,Запеченная ножка цыпленка BBQ с булгуром,,Грильде пісірілген тауық аяғы булгурмен,,BBQ Roasted Chicken Leg with Bulgur,
Долма,Долма,,Долма,,Dolma,
Курица в кисло-сладком соусе,Курица в кисло-сладком соусе,,Тәтті-қышқыл соусымен тауық,,Chicken in Sweet and Sour Sauce,
Котлета из телятины с картофельным пюре,Котлета из телятины с картофельным пюре,,Телятин котлеті картоп пюресімен,,Veal Cutlet with Mashed Potatoes,
Филе курицы сувид с овощами на пару,Филе курицы сувид с овощами на пару,,Sous vide тауық филесі мен буға піскен көкөністер,,Sous Vide Chicken Fillet with Steamed Vegetables,
Картофель по-домашнему,Картофель по-домашнему,,Үй картоптары,,Homestyle Potatoes,
Жаровня из телятины,Жаровня из телятины,,Тауық жаровнясы,,Veal Skewer,
Салат с креветками и рукколой,Салат с креветками и рукколой,"Лёгкий салат с тигровыми креветками, рукколой, авокадо и томатами черри, дополненный пармезаном и соусом айоли.",Құрттамалы салат,"Жеңіл салат тигрови креветкалармен, рукколамен, авокадомен және черри қызанақтарымен, пармезан мен айоли соусымен толықтырылған.",Shrimp and Arugula Salad,"Light salad with tiger prawns, arugula, avocado, and cherry tomatoes, complemented with Parmesan and aioli sauce."
Восточный салат,Восточный салат,"Ароматный салат с жареными баклажанами, шампиньонами, свежей зеленью и медовым соусом с кунжутом",Шығыс салаты,"Ароматты салат қуырылған баклажандармен, шампиньондармен, жаңа жасыл шөптермен және кунжутпен тәтті бал соусында.",Eastern Salad,"Fragrant salad with fried eggplants, mushrooms, fresh herbs, and honey sesame sauce."
Салат из запеченной свеклы и сыром фета,Салат из запеченной свеклы и сыром фета,"Сладковатая запечённая свёкла в сочетании с нежным сыром фета, свежей зеленью и ароматной заправкой",Қызылша мен фета ірімшігінен салат,"Жұмсақ пісірілген қызылша, фета ірімшігімен, жаңа жасыл шөптермен және хош иісті соусты қосып жасалған салат.",Baked Beetroot and Feta Cheese Salad,"Sweet roasted beets combined with delicate feta cheese, fresh herbs, and aromatic dressing."
Салат Цезарь с креветками,Салат Цезарь с креветками,"Салат с тигровыми креветками, хрустящим айсбергом, черри, пармезаном и соусом цезарь.",Цезарь салаты асшаянмен,"Салат тигрови креветкалармен, қытырлақ айсбергпен, черри қызанақтарымен, пармезанмен және цезарь соусымен.",Caesar Salad with Shrimp,"Salad with tiger prawns, crispy iceberg lettuce, cherry tomatoes, Parmesan, and Caesar dressing."
Салат Тайский,Салат Тайский,"Яркий салат в тайском стиле с хрустящими овощами, сочным мясом и пряной заправкой на основе лайма и специй.",Тай салаты,"Жарқын тай стиліндегі салат қытырлақ көкөністермен, шырынды етпен және лайм мен дәмдеуіштерге негізделген ащы соуспен.",Thai Salad,"Vibrant Thai-style salad with crispy vegetables, juicy meat, and a spicy lime and spice-based dressing."
Теплый салат из конины ,Теплый салат из конины ,"Тёплый салат с кониной, миксом зелени, черри и перепелиными яйцами в имбирном соусе.",Жылқы етінен жылы салат,"Жылы салат конинмен, жасыл шөптердің қоспасымен, черри қызанақтарымен және кептер жұмыртқаларымен имбирь соусында.",Warm Horse Meat Salad,"Warm salad with horse meat, a mix of greens, cherry tomatoes, and quail eggs in ginger sauce."
Цезарь с курицей,Цезарь с курицей,"Классический салат с курицей, хрустящими листьями, черри, пармезаном и соусом Цезарь.",Цезарь тауықпен,"Классикалық салат тауық етімен, қытырлақ жапырақтармен, черри қызанақтарымен, пармезанмен және цезарь соусымен.",Chicken Caesar,"Classic salad with chicken, crispy leaves, cherry tomatoes, Parmesan, and Caesar dressing."
Салат из бастурмы конины,Салат из бастурмы конины,"Ароматная бастурма из конины в сочетании со свежей зеленью, томатами черри и пикантным бальзамическим кремом",Қой етінен бастурма салаты,"Ароматты бастурма конинмен, жаңа жасыл шөптермен, черри қызанақтарымен және ащы бальзамикалық креммен.",Basturma Salad with Horse Meat,"Aromatic horse meat basturma with fresh herbs, cherry tomatoes, and a tangy balsamic cream."
Оливье с мясом*,Оливье с мясом,"Классический салат с отварным мясом, картофелем, морковью, яйцом, горошком и нежным соусом",Оливье салаты етпен,"Классикалық салат пісірілген етпен, картоппен, сәбізбен, жұмыртқамен, бұршақпен және жұмсақ соуспен.",Olivier with Meat,"Classic salad with boiled meat, potatoes, carrots, eggs, peas, and a delicate dressing."
Салат из говяжьего языка,Салат из говяжьего языка,"Нежный говяжий язык с хрустящими овощами, красной фасолью и пикантным майонезным соусом.",Ірі сиыр тілінен салат,"Жұмсақ сиыр тілі, қытырлақ көкөністермен, қызыл бұршақпен және ащы майонез соусымен.",Beef Tongue Salad,"Tender beef tongue with crispy vegetables, red beans, and a spicy mayonnaise dressing."
Салат с хрустящими баклажанами,Салат с хрустящими баклажанами,"Пряный салат с обжаренными баклажанами, сочными томатами и ароматными кунжутными семенами",Қытырлақ баклажаннан салат,"Ащы салат қуырылған баклажандармен, шырынды қызанақтармен және хош иісті кунжут дәндерімен.",Crispy Eggplant Salad,"Spicy salad with fried eggplants, juicy tomatoes, and aromatic sesame seeds."
Лосось с авокадо и крем чиз,Лосось с авокадо и крем чиз,"Нежное сочетание лосося, авокадо, творожного сыра и свежих овощей, украшенное микрозеленью.",Авокадо мен крем-ірімшікпен лосось,"Жұмсақ лосось, авокадо, ірімшік және жаңа көкөністердің үйлесімі, микрозеленьмен безендірілген.",Salmon with Avocado and Cream Cheese,"Delicate combination of salmon, avocado, cream cheese, and fresh vegetables, garnished with microgreens."
Салат с жареной брынзой с соусом песто,Салат с жареной брынзой с соусом песто,"Сытный салат с хрустящей жареной брынзой, свежими овощами и ароматным соусом песто.",Песто соусымен қуыратын ірімшік салаты,"Қытырлақ қуырулы брынза, жаңа көкөністер және хош иісті песто соусымен салат.",Fried Cheese Salad with Pesto Sauce,"Hearty salad with crispy fried cheese, fresh vegetables, and aromatic pesto sauce."
Салат с курицей и фасолью,Салат с курицей и фасолью,"Сытный салат с нежным куриным филе, хрустящими листьями салата, сладкой кукурузой и красной фасолью.",Тауық пен бұршақ салаты,"Қытырлақ тауық еті, хрустящий жапырақтармен, тәтті жүгері мен қызыл бұршақпен салат.",Chicken and Bean Salad,"Hearty salad with tender chicken fillet, crispy lettuce, sweet corn, and red beans."
Овощной салат,Овощной салат,,Көкөніс салаты,,Vegetable Salad,
Ачикчучук,Ачикчучук,"Пряный салат из сочных томатов, лука, кинзы и острого перца.",Ачикчучук,"Ащы салат шырынды қызанақтармен, пиязбен, кинзамен және ащы бұрышпен.",Achikchuchuk,"Spicy salad with juicy tomatoes, onions, cilantro, and hot peppers."
Салат греческий ,Салат греческий ,"Свежий овощной салат с брынзой, маслинами и ароматным бальзамическим кремом",Грек салаты,"Жаңа көкөніс салаты брынзамен, зәйтүнмен және хош иісті бальзамикалық креммен.",Greek Salad,"Fresh vegetable salad with feta cheese, olives, and aromatic balsamic cream."
Салат из свежих овощей и авокадо,Салат из свежих овощей и авокадо,"Лёгкий салат из хрустящих овощей, спелого авокадо и кедровых орешков, заправленный оливковым маслом.",Жаңа көкөніс пен авокадо салаты,"Жеңіл салат қытырлақ көкөністермен, пісіп жетілген авокадомен және кедр жаңғақтарымен, зәйтүн майымен дәмделген.",Fresh Vegetable and Avocado Salad,"Light salad with crispy vegetables, ripe avocado, and pine nuts, dressed with olive oil."
Замена шишы,Замена шишы,,Шиша ауыстыру,,Shish Replacement,
Кальян 7500,Кальян 7500,,Кальян 7500,,Hookah 7500,
Кальян 5500,Кальян 5500,,Кальян 5500,,Hookah 5500,
Разносолы по-домашнему,Разносолы по-домашнему,"Ассорти из хрустящих домашних солений: огурцы, помидоры, капуста и ароматная зелень",Үйдегі тұздықтар,"Қытырлақ үйдегі тұздалған көкөністер ассорти: қияр, помидор, қырыққабат және хош иісті шөптер.",Homestyle Pickles,"Assorted crispy homemade pickles: cucumbers, tomatoes, cabbage, and fragrant herbs."
Холодец,Холодец по-домашнему,"Домашний холодец с насыщенным мясным вкусом, подается с пикантной дижонской горчицей",Үйдегі асқабақ тұздығы,"Үйдегі желе бай ет дәмімен,辛ды дижон қышасымен беріледі.",Homestyle Aspic,"Homemade aspic with a rich meaty flavor, served with spicy Dijon mustard."
Ассорти Мясное,Мясное ассорти,"Традиционное мясное ассорти с казы, жая и отварным языком.",Ет ассорти,"Дәстүрлі ет ассорти: қазы, жая және қайнатылған тіл.",Meat Assortment,"Traditional meat assortment with kazy, jaya, and boiled tongue."
Овощная нарезка с брынзой,Овощная нарезка с брынзой,Свежие овощи в сочетании с брынзой – лёгкая и полезная закуска,Көкөніс кесіндісі брынзамен,Жаңа көкөністер мен брынзаның үйлесімі – жеңіл әрі пайдалы тағам.,Vegetable Platter with Feta Cheese,Fresh vegetables paired with feta cheese – a light and healthy appetizer.
Рыбное ассорти,Рыбное ассорти,"Ассорти из отборных рыбных деликатесов: нежная семга, маслянистый эскалар и ароматная копченая скумбрия",Балық ассорти,"Сұрыпталған балық деликатестері ассорти: нәзік лосось, майлы эскаляр және хош иісті ысталған скумбрия.",Fish Assortment,"Assorted selection of premium fish delicacies: tender salmon, oily escolar, and aromatic smoked mackerel."
Ванильный Шейк,Ванильный шейк,,Ванильді шейк,,Vanilla Shake,
Клубничный Шейк,Клубничный шейк,,Клубничный шейк,,Strawberry Shake,
Glenmorangie The Original 10 YO 0.05,Glenmorangie The Original 10 YO 50 мл,,Glenmorangie The Original 10 YO 50 мл,,Glenmorangie The Original 10 YO 50 ml,
"Chivas12 YO (0,050)",Chivas12 YO 50 мл,,Chivas12 YO 50 мл,,Chivas12 YO 50 ml,
Glenmorangie The Lasanta 12 YO 0.05,Glenmorangie The Lasanta 12 YO 50 мл,,Glenmorangie The Lasanta 12 YO 50 мл,,Glenmorangie The Lasanta 12 YO 50 ml,
"Macallan 12 YO (0,050)",Macallan 12 YO 50 мл,,Macallan 12 YO 50 мл,,Macallan 12 YO 50 ml,
Ballantines Finest,Ballantines Finest,,Ballantines Finest,,Ballantines Finest,
"The Glenlivet 12 YO (0,050)",The Glenlivet 12 YO 50 мл,,The Glenlivet 12 YO 50 мл,,The Glenlivet 12 YO 50 ml,
Гречка,Гречка,,Бұршақ,,Buckwheat,
Картофель фри,Картофель фри,,Қуырылған картоп,,French Fries,
Рис гарнир,Рис гарнир,,Рис гарнирі,,Rice Garnish,
Картофельные дольки ,Картофельные дольки ,,Картоп кесектері,,Potato Wedges,
Лапша (лагман),Лапша (лагман),,Лагман лапшасы,,Laghman Noodles,
Картофельное пюре,Картофельное пюре,,Картоп пюресі,,Mashed Potatoes,
Овощи на гриле,Овощи на гриле,,Грильде көкөністер,,Grilled Vegetables,
Martini Fiero 100ml,Martini Fiero 100 мл,,Martini Fiero 100 мл,,Martini Fiero 100 ml,
Martini Riserva Ambrato 75ml,Martini Riserva Ambrato 75 мл,,Martini Riserva Ambrato 75 мл,,Martini Riserva Ambrato 75 ml,
Martini Riserva Rubino 75ml,Martini Riserva Rubino 75 мл,,Martini Riserva Rubino 75 мл,,Martini Riserva Rubino 75 ml,
Martini Extra Dry 100ml,Martini Extra Dry 100 мл,,Martini Extra Dry 100 мл,,Martini Extra Dry 100 ml,
Martini Riserva Bitter 75ml,Martini Riserva Bitter 75 мл,,Martini Riserva Bitter 75 мл,,Martini Riserva Bitter 75 ml,
FRESH Морковный,Морковный фреш,,Сәбіз шырын,,Carrot Fresh,
FRESH Апельсиновый,Апельсиновый фреш,,Апельсин шырын,,Orange Fresh,
FRESH Грейпфрутовый,Грейпфрутовый фреш,,Грейпфрут шырын,,Grapefruit Fresh,
FRESH Яблочный,Яблочный фреш,,Алма шырын,,Apple Fresh,
Стейк Тибон на гриле,Стейк Тибон на гриле,,Грильде Тибон стейк,,Grilled T-bone Steak,
Медальоны с мозг.костью,Медальоны с мозговой костью,,Медальондар ми сүйекпен,,Medallions with Bone Marrow,
