needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Пивные байты,Пивные байты,"Крылья, луковые кольца, гарлики, сырные палочки. Сытный набор пивных байтов не оставит вас равнодушным",Пивалы байттар,"Қанаттар, пияз сақиналары, сарымсақ, ірімшік таяқшалары. Сәнді пивалық байттар жинағы сізді таң қалдырмай қоймайды",Beer bites,"Wings, onion rings, garlic, cheese sticks. A hearty set of beer bites that will leave you impressed"
Креветки Динамит,Креветки Динамит,Острые креветки в кляре,Динамит креветкалары,Дәмді қабықтағы ащы креветкалар,Dynamite shrimp,Spicy battered shrimp
Сет мезе с питой из печи,Сет мезе с питой из печи,"Сет восточных закусок с питой из печи: бабагануш, хумус, гуакамоле, капоната с фетой",Пита наны бар мезе сеті,"Пештен піскен пита наны бар шығыс тағамдары сеті: баба гануш, хумус, гуакамоле, капоната фетамен",Meze set with pita from the oven,"Set of Eastern appetizers with pita from the oven: baba ganoush, hummus, guacamole, caponata with feta"
Брокколи по-итальянски,Брокколи по-итальянски,Брокколи с розмарином в оливковом масле с чесноком,Италиянша брокколи,Розмаринмен зәйтүн майында сарымсақпен пісірілген брокколи,Italian-style broccoli,Broccoli with rosemary in olive oil with garlic
Гречка,Гречка,"Ароматная гречка, приготовленная на сливочном масле",Гречка,Маймен пісірілген хош иісті гречка,Buckwheat,Aromatic buckwheat cooked in butter
Рис на пару,Рис на пару,"Рис, приготовленный на пару",Бумен пісірілген күріш,Бумен пісірілген күріш,Steamed rice,Steamed rice
Фри,Фри,Картофель фри в специях Санта-Мария,Фри,Санта-Мария дәмдеуіштеріндегі картоп фри,Fries,French fries with Santa Maria spices
Манго-маракуйя 1 л,Манго-маракуйя 1 л,Тропический взрыв вкуса: сладкое манго и экзотическая маракуйя создают идеальное сочетание свежести и лёгкой кислинки.,Манго-маракуйя 1 л,"Тропикалық дәмнің жарылысы: тәтті манго мен экзотикалық маракуйяның тамаша үйлесімі, балғындық пен жеңіл қышқылдылықтың мінсіз үйлесімі.",Mango-passion fruit 1 l,Tropical flavor explosion: sweet mango and exotic passion fruit create the perfect balance of freshness and a slight tartness.
Малина-базилик-шиповник 1 л,Малина-базилик-шиповник 1 л,"Яркий ягодный микс с тонкими травяными нотками: насыщенная малина, свежий базилик и лёгкая кислинка шиповника.",Малина-базилик-шиповник 1 л,"Жұмсақ шөптердің ноталарымен жарқын жидек қоспасы: бай малина, жаңа базилик және шиповниктің жеңіл қышқылдығы.",Raspberry-basil-rosehip 1 l,"Bright berry mix with subtle herbal notes: rich raspberry, fresh basil, and light tang of rosehip."
Вишня-тибетская ромашка 1л,Вишня-тибетская ромашка 1л,"Глубокий вкус сочной вишни с деликатной ноткой тибетской ромашки, создающий гармонию сладости и лёгкой терпкости.",Вишня-тибет ромашкасы 1 л,"Тибет ромашкасының нәзік ноталарымен шырынды шие дәмі, тәттілік пен жеңіл ащылықтың гармониясын жасайды.",Cherry-Tibetan chamomile 1 l,"The deep taste of juicy cherries with a delicate note of Tibetan chamomile, creating a harmony of sweetness and light bitterness."
Тархун-кафир лайм 1 л,Тархун-кафир лайм 1 л,"Освежающий тандем пряного тархуна и ароматного каффир-лайма для тех, кто любит необычные вкусовые сочетания.",Тархун-кафир лайм 1 л,Қызық дәмдерді ұнататындарға арналған хош иісті тархун мен хош иісті кафир-лаймның сергітетін үйлесімі.,Tarkhuna-cafirlime 1 l,Refreshing tandem of spicy tarragon and fragrant kaffir lime for those who enjoy unusual flavor combinations.
Тархун-кафир лайм 400 мл,Тархун-кафир лайм 400 мл,"Освежающий тандем пряного тархуна и ароматного каффир-лайма для тех, кто любит необычные вкусовые сочетания.",Тархун-кафир лайм 400 мл,Қызық дәмдерді ұнататындарға арналған хош иісті тархун мен хош иісті кафир-лаймның сергітетін үйлесімі.,Tarkhuna-cafirlime 400 ml,Refreshing tandem of spicy tarragon and fragrant kaffir lime for those who enjoy unusual flavor combinations.
Клубника-улун 400 мл,Клубника-улун 400 мл,Нежная сладость клубники в сочетании с мягким чайным послевкусием улуна – лёгкий и гармоничный вкус.,Клубника-улун 400 мл,Құлпынайдың нәзік тәттілігі мен улун шайының жұмсақ дәмі – жеңіл және үйлесімді дәм.,Strawberry-oolong 400 ml,Tender sweetness of strawberries combined with the soft tea aftertaste of oolong – a light and harmonious flavor.
Клубника-улун 1 л,Клубника-улун 1 л,Нежная сладость клубники в сочетании с мягким чайным послевкусием улуна – лёгкий и гармоничный вкус.,Клубника-улун 1 л,Құлпынайдың нәзік тәттілігі мен улун шайының жұмсақ дәмі – жеңіл және үйлесімді дәм.,Strawberry-oolong 1 l,Tender sweetness of strawberries combined with the soft tea aftertaste of oolong – a light and harmonious flavor.
Имбирь цитрусы 1 л,Имбирь цитрусы 1 л,"Пикантный имбирь, дополненный сочными цитрусами, создаёт бодрящий и согревающий вкус с лёгкой остринкой.",Имбирь-цитрус 1 л,"Ащы имбирь, шырынды цитрустармен толықтырылған, сергітетін және жылыту дәмін береді, жеңіл ащылықпен.",Ginger-citrus 1 l,Spicy ginger complemented by juicy citrus creates an invigorating and warming taste with a slight spiciness.
Имбирь цитрусы 400 мл,Имбирь цитрусы 400 мл,"Пикантный имбирь, дополненный сочными цитрусами, создаёт бодрящий и согревающий вкус с лёгкой остринкой.",Имбирь-цитрус 400 мл,"Ащы имбирь, шырынды цитрустармен толықтырылған, сергітетін және жылыту дәмін береді, жеңіл ащылықпен.",Ginger-citrus 400 ml,Spicy ginger complemented by juicy citrus creates an invigorating and warming taste with a slight spiciness.
Манго-маракуйя 400 мл,Манго-маракуйя 400 мл,Тропический взрыв вкуса: сладкое манго и экзотическая маракуйя создают идеальное сочетание свежести и лёгкой кислинки.,Манго-маракуйя 400 мл,"Тропикалық дәмнің жарылысы: тәтті манго мен экзотикалық маракуйяның тамаша үйлесімі, балғындық пен жеңіл қышқылдылықтың мінсіз үйлесімі.",Mango-passion fruit 400 ml,Tropical flavor explosion: sweet mango and exotic passion fruit create the perfect balance of freshness and a slight tartness.
Малина-базилик-шиповник 400 мл,Малина-базилик-шиповник 400 мл,"Яркий ягодный микс с тонкими травяными нотками: насыщенная малина, свежий базилик и лёгкая кислинка шиповника.",Малина-базилик-шиповник 400 мл,"Жұмсақ шөптердің ноталарымен жарқын жидек қоспасы: бай малина, жаңа базилик және шиповниктің жеңіл қышқылдығы.",Raspberry-basil-rosehip 400 ml,"Bright berry mix with subtle herbal notes: rich raspberry, fresh basil, and light tang of rosehip."
Вишня-тибетская ромашка 400 мл,Вишня-тибетская ромашка 400 мл,"Глубокий вкус сочной вишни с деликатной ноткой тибетской ромашки, создающий гармонию сладости и лёгкой терпкости.",Вишня-тибет ромашкасы 400 мл,"Тибет ромашкасының нәзік ноталарымен шырынды шие дәмі, тәттілік пен жеңіл ащылықтың гармониясын жасайды.",Cherry-Tibetan chamomile 400 ml,"The deep taste of juicy cherries with a delicate note of Tibetan chamomile, creating a harmony of sweetness and light bitterness."
Perrier Maison Peach Cherry 250 мл,Perrier Maison Peach Cherry 250 мл,Французская классика со вкусом спелого персика и сочной черешни – лёгкое игристое наслаждение с освежающей газировкой.,Perrier Maison Peach Cherry 250 мл,"Француздық классика, піскен шабдалы мен шырынды шие дәмі бар – жеңіл, газдалған әрі сергітетін рақаттану.",Perrier Maison Peach Cherry 250 ml,French classic with the taste of ripe peach and juicy cherries – a light sparkling delight with refreshing carbonation.
Тассай Emerald 750 мл,Тассай Emerald 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Emerald 750 мл,"Эксклюзивті дизайндағы табиғи су, Тянь-Шанның етегіндегі табиғи су қасиеттерімен.",Tassay Emerald 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tian Shan.
Яблочный фреш,Яблочный фреш,Сладкий и ароматный свежевыжатый сок из спелых яблок.,Яблочный фреш,Піскен алманың тәтті және хош иісті жаңа сығылған сусыны.,Apple fresh,Sweet and aromatic freshly squeezed juice from ripe apples.
Айс ти классический 400 мл,Айс ти классический 400 мл,Классический холодный чай с насыщенным вкусом и лёгкой прохладой.,Классикалық айс ти 400 мл,"Классикалық салқын шай, бай дәмі мен жеңіл салқындығы бар.",Classic iced tea 400 ml,Classic cold tea with a rich taste and a light chill.
Тассай Excellent 750 мл,Тассай Excellent 750 мл,Натуральная вода c эксклюзивным дизайном и природными свойствами воды из предгорий Тянь-Шаня.,Тассай Excellent 750 мл,"Эксклюзивті дизайндағы табиғи су, Тянь-Шанның етегіндегі табиғи су қасиеттерімен.",Tassay Excellent 750 ml,Natural water with an exclusive design and the natural properties of water from the foothills of the Tian Shan.
Тассай без газа 250 мл,Тассай без газа 250 мл,Натуральная питьевая вода для утоления жажды.,Газсыз Тассай 250 мл,Шөлді қандыру үшін табиғи ауыз су.,Tassay still 250 ml,Natural drinking water to quench your thirst.
Тропический смузи,Тропический смузи,"Яркое сочетание экзотических фруктов, которые дарят вкус лета и солнечного настроения в каждом глотке.",Тропикалық смузи,Жаздың дәмін және әрбір жұтымда күн сәулесінің көңіл-күйін беретін экзотикалық жемістердің жарқын үйлесімі.,Tropical smoothie,A bright combination of exotic fruits that bring the taste of summer and a sunny mood in every sip.
Милкшейк Персик Клубника,Милкшейк Персик Клубника,"Сочная комбинация персика и клубники, которая дарит нежный и фруктовый вкус в каждом глотке, создавая идеальный кремовый напиток для настоящих любителей сладких угощений.",Персик-Клубника милкшейкі,"Шабдалы мен құлпынайдың шырынды үйлесімі, әр жұтымда нәзік әрі жемісті дәм береді, тәтті тағамдарды жақсы көретіндер үшін мінсіз кремді сусын жасайды.",Peach Strawberry milkshake,"A juicy combination of peach and strawberry that gives a tender and fruity taste in every sip, creating the perfect creamy drink for those who love sweet treats."
Сок Pago 200 мл,Сок Pago 200 мл,Натуральный сок премиального качества,Pago шырыны 200 мл,Премиум сапалы табиғи шырын,Pago juice 200 ml,Premium quality natural juice
Айс-ти Вишня-персик 400 мл,Айс-ти Вишня-персик 400 мл,Освежающий холодный чай с ягодно-фруктовыми нотками спелой вишни и сочного персика.,Айс-ти Вишня-Персик 400 мл,Шие мен шабдалының жидек- жеміс ноталарымен сергітетін салқын шай.,Iced tea Cherry-Peach 400 ml,Refreshing cold tea with berry-fruity notes of ripe cherries and juicy peaches.
Милкшейк Груша Карамель,Милкшейк Груша Карамель,"Нежное сочетание сладкой груши и ароматной карамели, создающее кремовый и насыщенный напиток с уникальным фруктово-сладким вкусом.",Груша-Карамель милкшейкі,"Тәтті алмұрт пен хош иісті карамельдің нәзік үйлесімі, кремді және бай сусын жасайды, ерекше жеміс-тәтті дәмімен.",Pear Caramel milkshake,"A delicate combination of sweet pear and fragrant caramel, creating a creamy and rich drink with a unique fruity-sweet flavor."
Грейпфрутовый фреш,Грейпфрутовый фреш,Освежающий цитрусовый фреш с приятной кислинкой и лёгкой горчинкой.,Грейпфрут фреші,Дәмді қышқылдық пен жеңіл ащылығы бар сергітетін цитрустық фреш.,Grapefruit fresh,Refreshing citrus fresh with a pleasant tartness and light bitterness.
Набеглави 500 мл,Набеглави 500 мл,Минеральная вода из природных источников Грузии.,Набеглави 500 мл,Грузияның табиғи көздерінен алынған минералды су.,Nabeglavi 500 ml,Mineral water from natural sources in Georgia.
Айс ти классический 900 мл,Айс ти классический 900 мл,Классический холодный чай с насыщенным вкусом и лёгкой прохладой.,Классикалық айс ти 900 мл,"Классикалық салқын шай, бай дәмі мен жеңіл салқындығы бар.",Classic iced tea 900 ml,Classic cold tea with a rich taste and a light chill.
Тассай с газом 500 мл,Тассай с газом 500 мл,Натуральная питьевая вода для утоления жажды.,Газды Тассай 500 мл,Шөлді қандыру үшін табиғи ауыз су.,Tassay sparkling 500 ml,Natural drinking water to quench your thirst.
Schweppes 450 мл,Schweppes 450 мл,Классический газированный напиток с освежающим вкусом.,Schweppes 450 мл,"Газдалған классикалық сусын, сергітетін дәмімен.",Schweppes 450 ml,Classic carbonated drink with a refreshing taste.
Тассай без газа 500 мл,Тассай без газа 500 мл,Натуральная питьевая вода для утоления жажды.,Газсыз Тассай 500 мл,Шөлді қандыру үшін табиғи ауыз су.,Tassay still 500 ml,Natural drinking water to quench your thirst.
Айс-ти Вишня-персик 900 мл,Айс-ти Вишня-персик 900 мл,Освежающий холодный чай с ягодно-фруктовыми нотками спелой вишни и сочного персика.,Айс-ти Вишня-Персик 900 мл,Шие мен шабдалының жидек-жеміс ноталарымен сергітетін салқын шай.,Iced tea Cherry-Peach 900 ml,Refreshing cold tea with berry-fruity notes of ripe cherries and juicy peaches.
Red Bull 250 мл,Red Bull 250 мл,Энергетический напиток для бодрости и активного дня.,Red Bull 250 мл,"Қуаттандыратын сусын, сергектік пен белсенді күн үшін.",Red Bull 250 ml,Energy drink for energy and an active day.
Тассай с газом 250 мл,Тассай с газом 250 мл,Натуральная питьевая вода для утоления жажды.,Газды Тассай 250 мл,Шөлді қандыру үшін табиғи ауыз су.,Tassay sparkling 250 ml,Natural drinking water to quench your thirst.
Зеленый смузи с киви и яблоком,Зеленый смузи с киви и яблоком,"Освежающий напиток с ярким вкусом киви и сочного яблока, который подарит заряд бодрости и свежести в каждый глоток.",Киви мен алма қосылған жасыл смузи,"Киви мен шырынды алманың жарқын дәмімен сергітетін сусын, әр жұтымда сергітуші әсер береді.",Green smoothie with kiwi and apple,"Refreshing drink with the bright taste of kiwi and juicy apple, giving a boost of vitality and freshness in every sip."
Набеглави 200 мл,Набеглави 200 мл,Минеральная вода из природных источников Грузии.,Набеглави 200 мл,Грузияның табиғи көздерінен алынған минералды су.,Nabeglavi 200 ml,Mineral water from natural sources in Georgia.
Апельсиновый фреш,Апельсиновый фреш,"Натуральный свежевыжатый апельсиновый сок, насыщенный витаминами и солнечным вкусом.",Апельсин фреші,"Табиғи жаңа сығылған апельсин шырыны, дәрумендермен байытылған және күн сәулесінің дәмімен.",Orange fresh,"Natural freshly squeezed orange juice, rich in vitamins and sunny flavor."
Пита ливанская,Пита ливанская,Свежеиспеченная ливанская пита,Ливан питы,Жаңа пісірілген ливандық пита наны,Lebanese pita,Freshly baked Lebanese pita
Пицца цыпленок с грибами,Пицца цыпленок с грибами,Популярная пицца с копченой куриной грудкой и шампиньонами под тертым Пармезаном,Тауық еті мен саңырауқұлақтан жасалған пицца,"Қуырылған тауық еті мен саңырауқұлақтан жасалған танымал пицца, үстіне үгітілген пармезан себілген",Chicken and mushroom pizza,"Popular pizza with smoked chicken breast and mushrooms, topped with grated Parmesan"
Фокачча с розмарином,Фокачча с розмарином,Итальянская пшеничная лепешка с розмарином и томатами,Розмаринмен фокачча,"Итальяндық бидай наны, розмарин мен қызанақ қосылған",Focaccia with rosemary,Italian wheat flatbread with rosemary and tomatoes
Горячая пита из печи,Горячая пита из печи,,Пеште пісірілген ыстық пита,,Hot pita from the oven,
Слоеная лепешка из печи,Слоеная лепешка из печи,,Пеште пісірілген көп қабатты лепешка,,Layered flatbread from the oven,
Борщ с казы,Борщ с казы,Наваристый борщ с казы из конины и чесночными пампушками,Қазы қосылған борщ,Нағыз борщ қазы қосылған және сарымсақ пампушкаларымен,Borscht with kazy,Hearty borscht with horsemeat kazy and garlic pampushkas
Солянка,Солянка,Густая солянка с копченой говядиной и курочкой,Солянка,Қою солянка ысталған сиыр еті мен тауық етінен,Solanka,Thick solyanka with smoked beef and chicken
Чечевичный суп,Чечевичный суп,Чечевичный суп с отварными овощами,Жаңғақ сорпасы,"Тамаққашық чечевица сорпасы, пісірілген көкөністермен",Lentil soup,Lentil soup with boiled vegetables
Том Ям с морепродуктами,Том Ям с морепродуктами,Пикантный Том Ям с морепродуктами,Том Ям теңіз өнімдерімен,Ащы Том Ям теңіз өнімдерімен,Tom Yum with seafood,Spicy Tom Yum with seafood
Куриный суп с лапшой,Куриный суп с лапшой,Нежный куриный суп с домашней лапшой,Тауық еті бар лапша сорпасы,Нәзік тауық сорпасы үйдегі лапшамен,Chicken noodle soup,Tender chicken soup with homemade noodles
Пенне Аррабиата,Пенне Аррабиата,Пенне под соусом из микса спелых томатов с базиликом,Пенне Аррабиата,Пенне макароны піскен қызанақтар мен базиликпен жасалған соусты,Penne Arrabbiata,Penne pasta with a sauce made from ripe tomatoes and basil
Пицца Маргарита,Пицца Маргарита,Маргарита с моцареллой и свежим базиликом под тертым пармезаном,Маргарита пицца,"Маргарита пиццасы моцарелла мен жаңа базиликпен, үстіне үгітілген пармезан",Margherita pizza,"Margherita pizza with mozzarella and fresh basil, topped with grated parmesan"
Пицца Пепперони,Пицца Пепперони,"Пицца с пикантными колбасками пепперони, соусом из спелых томатов и тянущейся моцареллой.",Пепперони пиццасы,"Пицца пикантты пепперони шұжықтары, піскен қызанақ соусы мен созылған моцарелла",Pepperoni pizza,"Pizza with spicy pepperoni sausages, ripe tomato sauce, and melting mozzarella"
Пицца Четыре сыра,Пицца Четыре сыра,Нежнейшая пицца с 4 разными видами сыра,,Төрт түрлі ірімшікпен нәзік пицца,,Delicate pizza with four different types of cheese
Авокадо тост и яйцо пашот,Авокадо тост и яйцо пашот,"Авокадо-тост с яйцом пашот, томатами конфи и соусом гуакамоле на ремесленном хлебе, украшенный базиликом и зеленым маслом.",,"Авокадо-тост пашот жұмыртқасы, томаттар конфиі мен гуакамоле соусымен ремеслендық нанмен, базилик пен жасыл маймен сәнделген",,"Avocado toast with poached egg, confit tomatoes, and guacamole sauce on artisanal bread, garnished with basil and green oil"
Вафли с яйцом и говяжьей ветчиной,Вафли с яйцом и говяжьей ветчиной,"Вафли с говяжьей ветчиной, яйцом пашот, томатами конфи и соусом голландез, украшенные свежей зеленью.",,"Вафли сиыр ветчинасымен, пашот жұмыртқасымен, томаттар конфиімен және голландез соусымен, жаңа жасыл шөптермен безендірілген",,"Waffles with beef ham, poached egg, confit tomatoes, and hollandaise sauce, garnished with fresh herbs"
Гранола с йогуртом и фруктами,Гранола с йогуртом и фруктами,Гранола со свежими ягодами и клубничным смузи. Украшается свежей мятой.,,Гранола жаңа жидектермен және клубника смузимен. Жаңа жалбызбен әшекейленген,,"Granola with fresh berries and strawberry smoothie, garnished with fresh mint"
Зеленый салат ,Зеленый салат ,,,,,
Оливье с лососем,Оливье с лососем,Классический оливье со слабосоленым норвежским лососем и красной икрой,,Классикалық оливье Норвегиялық тұздалған лосось және қызыл уылдырықпен,,Classic Olivier salad with lightly salted Norwegian salmon and red caviar
Салат Миконос,Салат Миконос,"Свежие овощи, мясистые оливки, греческий сыр и ремесленных хлеб под оригинальной заправкой",,"Жаңа көкөністер, етті зәйтүндер, грек ірімшігі және ремеслендық нан, түпнұсқалық соуспен",,"Fresh vegetables, meaty olives, Greek cheese, and artisanal bread with original dressing"
Салат Патонг,Салат Патонг,"Карамелизированные баклажаны со свежими томатами под азиатским соусом, украшенные кинзой и кунжутными семечками",,"Карамельденген баклажандар жаңа қызанақтармен, азиялық соустың астында, кориандр мен кунжіт тұқымдарымен безендірілген",,"Caramelized eggplant with fresh tomatoes under an Asian sauce, garnished with cilantro and sesame seeds"
Чай листовой черный Ассам 900 мл,Чай листовой черный Ассам 900 мл,"Чёрный чай с глубоким, насыщенным вкусом и лёгкой терпкостью.",,"Қара шай терең, бай дәмі мен жеңіл ащылығымен",,"Black tea with a deep, rich flavor and a slight bitterness"
Raspberry Ice Latte,Raspberry Ice Latte,"Холодный кофе с ярким вкусом малины и кремовой текстурой, создающий идеальное сочетание свежести и кофейной насыщенности.",,"Салқын кофе жарқын малина дәмі мен кремді құрылымымен, сергітетін және кофе байлығының мінсіз үйлесімі",,"Iced coffee with a bright raspberry flavor and creamy texture, creating a perfect blend of freshness and coffee richness"
Чай Ягодный сад 400 мл,Чай Ягодный сад 400 мл,,,,,
Чай листовой Ройбуш ваниль-карамель 400 мл,Чай листовой Ройбуш ваниль-карамель 400 мл,Благородный ройбуш с мягкими сливочно-карамельными оттенками.,,"Мәртебелі ройбуш, жұмсақ қаймақ-карамель ноталарымен",,Noble rooibos with soft creamy-caramel notes
Чай Дикая вишня 400 мл,Чай Дикая вишня 400 мл,Яркий фруктовый чай с глубоким вкусом спелой дикой вишни.,Чай Дикая вишня 400 мл,Жарқын жеміс шайы піскен жабайы шие дәмінің тереңдігімен,Wild Cherry tea 400 ml,Bright fruit tea with a deep flavor of ripe wild cherries
Чай Ташкентский 900 мл,Чай Ташкентский 900 мл,"Ароматный чай с нотами зелёного чая, цитрусов и восточных специй.",,"Хош иісті шай жасыл шай, цитрустар мен шығыс дәмдеуіштері ноталарымен",,"Aromatic tea with notes of green tea, citrus, and oriental spices"
Американо 150 мл,Американо 150 мл,Классический чёрный кофе с насыщенным ароматом и сбалансированной горчинкой.,Американо 150 мл,Классикалық қара кофе бай хош иісі мен теңгерімді ащылығымен,Americano 150 ml,Classic black coffee with a rich aroma and balanced bitterness
Mango Matcha latte,Mango Matcha latte,"Холодный кофе с нотками нежной матчи и экзотического манго, создающий идеальное сочетание кофейной бодрости и тропической свежести.",,"Салқын кофе нәзік матчаның ноталарымен және экзотикалық манго дәмімен, кофе сергітушілігі мен тропикалық балғындықтың мінсіз үйлесімі",,"Iced coffee with delicate matcha notes and exotic mango, creating a perfect blend of coffee energy and tropical freshness"
Капучино 300 мл,Капучино 300 мл,,,,,
Чай листовой Эрл грей с бергамотом 400 мл,Чай листовой Эрл грей с бергамотом 400 мл,,,,,
Чай Молочный Улун 900 мл,Чай Молочный Улун 900 мл,,Чай Молочный Улун 900 мл,,Milk Oolong tea 900 ml,
Капучино 200 мл,Капучино 200 мл,,,,,
Чай Жасмин 400 мл,Чай Жасмин 400 мл,,,,,
Choco strawberry,Choco strawberry,"Холодный кофе с насыщенным вкусом шоколада и сладкой клубники, создающий идеальное сочетание кремовой мягкости и яркой кофейной бодрости.",,"Салқын кофе бай шоколад дәмі мен тәтті құлпынаймен, кремді жұмсақтық пен жарқын кофе сергітушілігінің мінсіз үйлесімі",,"Iced coffee with rich chocolate flavor and sweet strawberry, creating a perfect combination of creamy softness and vibrant coffee energy"
Чай листовой Сенча сенпай 900 мл,Чай листовой Сенча сенпай 900 мл,,,,,
Чай Горные травы 900 мл,Чай Горные травы 900 мл,,Чай Горные травы 900 мл,,Mountain herbs tea 900 ml,
Чай Марокканский 900 мл,Чай Марокканский 900 мл,,,,,
Айс Американо,Айс Американо,,Айс Американо,,Iced Americano,
Чай Марокканский 400 мл,Чай Марокканский 400 мл,,,,,
Чай Дикая вишня 900 мл,Чай Дикая вишня 900 мл,,Чай Дикая вишня 900 мл,,Wild Cherry tea 900 ml,
Чай Ягодный сад 900 мл,Чай Ягодный сад 900 мл,,,,,
Mint cocoa,Mint cocoa,"Холодный кофе с освежающими нотками мяты и насыщенным вкусом какао, создающий идеальный баланс между бодрящим кофе и приятной сладостью.",,"Салқын кофе жалбыздың сергітетін ноталарымен және бай какао дәмімен, кофе сергітушілігі мен тәттіліктің тамаша балансы",,"Iced coffee with refreshing mint notes and rich cocoa flavor, creating a perfect balance between invigorating coffee and pleasant sweetness"
Чай Горные травы 400 мл,Чай Горные травы 400 мл,,Чай Горные травы 400 мл,,Mountain herbs tea 400 ml,
Чай Ташкентский 400 мл,Чай Ташкентский 400 мл,,Ташкент чәй 400 мл,,Tashkent Tea 400 ml,
Чай листовой Сенча сенпай 400 мл,Чай листовой Сенча сенпай 400 мл,,,,,
Латте классический 200 мл,Латте классический 200 мл,,,,,
Чай листовой Эрл грей с бергамотом 900 мл,Чай листовой Эрл грей с бергамотом 900 мл,,,,,
Чай Жасмин 900 мл,Чай Жасмин 900 мл,,,,,
Чай листовой черный Ассам 400 мл,Чай листовой черный Ассам 400 мл,,,,,
Американо 250 мл,Американо 250 мл,,Американо 250 мл,,Americano 250 ml,
Чай Молочный Улун 400 мл,Чай Молочный Улун 400 мл,,Чай Молочный Улун 400 мл,,Milk Oolong tea 400 ml,
Чай листовой Ройбуш ваниль-карамель 900 мл,Чай листовой Ройбуш ваниль-карамель 900 мл,,,,,
Айс латте,Айс латте,,Айс латте,,Iced latte,
Торт медовик,Торт медовик,,,,,
Ангус бургер,Ангус бургер,Фирменный бургер Чайла с котлетой собственного приготовления из мраморной говядины,,Фирмалық Чайла бургеры өз қолымен дайындалған мармалды сиыр етімен,,Signature Chayla burger with a patty made from marbled beef
Куриный бургер,Куриный бургер,Классический бургер с сочной котлетой из цыпленка,,Классикалық бургер шырынды тауық котлетімен,,Classic burger with a juicy chicken patty
Чайла донер из курицы,Чайла донер из курицы,"Фирменный донер с курицей, маринованными огурцами и фри, подается с картофелем фри и кетчупом",,"Фирмалық донер тауық, маринадталған қияр мен фри қосылған, картоп фри және кетчуппен",,"Signature doner with chicken, pickled cucumbers, and fries, served with french fries and ketchup"
Поке с лососем,Поке с лососем,"Свежий рис с лососем, авокадо, чуккой, ананасом и ореховой заправкой.",Лососьпен поке,"Жаңа күріш лосось, авокадо, чукка, ананас пен жаңғақ соусымен",Poke with salmon,"Fresh rice with salmon, avocado, chukka, pineapple, and nut sauce"
Фитнес боул с курицей и киноа,Фитнес боул с курицей и киноа,"Белковый фитнес боул с обжаренной курочкой, киноа и авокадо",,"Протеинді фитнес боулы қуырылған тауық еті, киноа мен авокадо қосылған",,"Protein fitness bowl with grilled chicken, quinoa, and avocado"
Курица в кисло-сладком соусе,Курица в кисло-сладком соусе,Обжаренная карамелизированная курочка в кисло-сладком соусе с рисом и кунжутными семечками,Тәтті-қышқыл соусымен тауық,"Қуырыған карамельденген тауық еті кисло-сладким соусымен, күріш пен кунжіт тұқымдарымен",Chicken in Sweet and Sour Sauce,Caramelized grilled chicken in a sweet and sour sauce with rice and sesame seeds
Лосось на гриле,Лосось на гриле,Нежнейший стейк норвежского лосося на гриле в соусе терияки с рисом и шпинатом,,"Норвегиялық лосось стейкі терияки соусымен грильде пісіріліп, күріш пен шпинатпен",,"Tender Norwegian salmon steak grilled with teriyaki sauce, served with rice and spinach"
Стейк Рибай с перечным соусом,Стейк Рибай с перечным соусом,"Сочный стейк из мраморной говядины с перечным соусом, подается в разрезанном виде с луком сибулет",,"Шырынды мармалды сиыр еті стейкі қара бұрыш соусымен, кесілген күйде сибулет пиязы мен беріледі",,"Juicy marbled beef steak with pepper sauce, served sliced with shallots"
Бефстроганов с пюре,Бефстроганов с пюре,Классический бефстроганов с картофельным пюре и маринованными корнишонами,,Классикалық бефстроганов картоп пюресі мен маринадталған корнишондармен,,Classic beef stroganoff with mashed potatoes and pickled gherkins
Куриное филе с брокколи и грибами,Куриное филе с брокколи и грибами,Сочное филе в идеальном сочетании с хрустящей брокколи и ароматными грибами,,Шырынды филе хрустящая брокколи мен хош иісті саңырауқұлақтармен тамаша үйлесімде,,Juicy fillet paired with crispy broccoli and aromatic mushrooms
Фитнес боул с киноа ,Фитнес боул с киноа ,"Белковый фитнес боул с обжаренной курочкой, киноа и авокадо",,"Протеинді фитнес боулы қуырылған тауық еті, киноа мен авокадо қосылған",,"Protein fitness bowl with grilled chicken, quinoa, and avocado"
Глинтвейн Красная Смородина б/а,Глинтвейн Красная Смородина б/а,,Қарақаттан жасалған ыстық шарап (алкогольсіз),,Red Currant Mulled Wine (Non-Alcoholic),
Глинтвейн Апельсиново-Имбирный б/а,Глинтвейн Апельсиново-Имбирный б/а,,Апельсин-имбирь ыстық шарабы (алкогольсіз),,Orange-Ginger Mulled Wine (Non-Alcoholic),
Хрустящий баклажан NEW,Хрустящий баклажан ,"Карамелизированные баклажаны со свежими томатами под азиатским соусом, украшенные кинзой и кунжутными семечками",,,,
Теплый салат с кониной Терра,Теплый салат с кониной,Сытный салат с обжаренной кониной и зеленью,,,,
Салат цезарь с курицей,Цезарь с курицей,"Классический салат с куриной грудкой, свежими листьями салата, томатами черри, хрустящими сухариками и пармезаном под соусом Цезарь.",,,,
